"filename", "language", "Python", "comment", "blank", "total"
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/identity/middleware.py", "Python", 189, 47, 43, 279
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/identity/principal.py", "Python", 73, 21, 25, 119
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/identity/users.py", "Python", 205, 43, 55, 303
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/main.py", "Python", 604, 282, 80, 966
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/__init__.py", "Python", 0, 32, 1, 33
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/admin.py", "Python", 129, 69, 39, 237
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/audit.py", "Python", 136, 39, 31, 206
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/autocomplete.py", "Python", 152, 61, 41, 254
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/containment.py", "Python", 115, 39, 26, 180
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/dashboard.py", "Python", 231, 107, 47, 385
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/etag.py", "Python", 9, 20, 8, 37
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/events.py", "Python", 34, 44, 18, 96
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/extensions.py", "Python", 273, 78, 37, 388
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/graphs.py", "Python", 27, 9, 4, 40
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/instances.py", "Python", 170, 52, 50, 272
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/labels.py", "Python", 197, 141, 60, 398
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/ldp/__init__.py", "Python", 10, 11, 3, 24
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/ldp/negotiation.py", "Python", 129, 46, 31, 206
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/ldp/router.py", "Python", 434, 96, 58, 588
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/licenses.py", "Python", 285, 69, 59, 413
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/lifecycle.py", "Python", 235, 69, 55, 359
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/meta.py", "Python", 169, 53, 37, 259
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/openapi.py", "Python", 195, 76, 51, 322
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/patch.py", "Python", 24, 51, 13, 88
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/policies.py", "Python", 268, 79, 60, 407
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/__init__.py", "Python", 91, 17, 4, 112
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/applier.py", "Python", 301, 144, 55, 500
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/iri.py", "Python", 62, 68, 27, 157
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/licenses.py", "Python", 37, 14, 13, 64
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/manifest.py", "Python", 167, 57, 64, 288
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/migrate.py", "Python", 77, 35, 27, 139
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/rd_records.py", "Python", 176, 77, 38, 291
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/rd_service.py", "Python", 112, 60, 36, 208
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/registry.py", "Python", 165, 121, 46, 332
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/state.py", "Python", 58, 26, 20, 104
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/profiles/validator.py", "Python", 251, 47, 42, 340
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/rd_api.py", "Python", 189, 66, 52, 307
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/repository.py", "Python", 93, 65, 23, 181
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/schema_sync.py", "Python", 204, 67, 52, 323
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/schemas.py", "Python", 289, 81, 56, 426
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/search/__init__.py", "Python", 1, 7, 2, 10
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/search/extract.py", "Python", 103, 25, 31, 159
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/search/indexer.py", "Python", 81, 31, 22, 134
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/search/model.py", "Python", 34, 8, 15, 57
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/search/repository.py", "Python", 179, 16, 36, 231
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/search/router.py", "Python", 21, 7, 12, 40
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/search/saved.py", "Python", 190, 15, 53, 258
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/search/service.py", "Python", 128, 21, 36, 185
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/settings.py", "Python", 339, 129, 80, 548
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/shacl.py", "Python", 171, 67, 42, 280
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/shape_provider.py", "Python", 27, 33, 15, 75
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metadata/states.py", "Python", 26, 31, 17, 74
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/__init__.py", "Python", 0, 32, 1, 33
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/aggregation.py", "Python", 97, 44, 20, 161
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/anonymize.py", "Python", 37, 24, 9, 70
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/api.py", "Python", 228, 38, 45, 311
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/events.py", "Python", 39, 43, 23, 105
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/geo.py", "Python", 63, 28, 31, 122
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/jobs.py", "Python", 49, 33, 28, 110
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/middleware.py", "Python", 142, 54, 41, 237
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/pipeline.py", "Python", 61, 36, 17, 114
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/reader.py", "Python", 224, 53, 36, 313
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/repository.py", "Python", 401, 79, 55, 535
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/salt.py", "Python", 17, 23, 11, 51
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/metrics/scheduler.py", "Python", 59, 29, 19, 107
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/operational.py", "Python", 154, 62, 53, 269
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/policy/__init__.py", "Python", 0, 33, 1, 34
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/policy/cache.py", "Python", 127, 38, 29, 194
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/policy/evaluator.py", "Python", 106, 21, 22, 149
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/policy/model.py", "Python", 91, 67, 67, 225
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/policy/parser.py", "Python", 180, 27, 32, 239
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/policy/pdp.py", "Python", 66, 53, 21, 140
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/policy/resolver.py", "Python", 78, 57, 26, 161
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/policy/runtime.py", "Python", 53, 14, 14, 81
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/__init__.py", "Python", 0, 10, 1, 11
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/context.py", "Python", 55, 34, 20, 109
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/errors.py", "Python", 184, 62, 80, 326
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/events.py", "Python", 77, 46, 29, 152
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/graphs.py", "Python", 92, 89, 52, 233
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/limits.py", "Python", 122, 22, 32, 176
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/logging.py", "Python", 91, 48, 27, 166
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/namespaces.py", "Python", 81, 50, 27, 158
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/reserved.py", "Python", 4, 17, 5, 26
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/security_headers.py", "Python", 34, 17, 17, 68
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/sparql_safety.py", "Python", 42, 36, 14, 92
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/shared/ssrf.py", "Python", 64, 42, 14, 120
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/storage/__init__.py", "Python", 0, 36, 1, 37
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/storage/postgres/__init__.py", "Python", 4, 11, 4, 19
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/storage/postgres/engine.py", "Python", 17, 27, 12, 56
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/storage/postgres/models.py", "Python", 18, 25, 12, 55
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/storage/postgres/types.py", "Python", 15, 8, 10, 33
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/storage/triplestore/__init__.py", "Python", 3, 6, 4, 13
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/storage/triplestore/adapter.py", "Python", 200, 94, 37, 331
"/Volumes/ROG ESD/Git/fdp-neo/server/src/fdpneo_server/storage/triplestore/conformance.py", "Python", 53, 24, 13, 90
"Total", "-", 13397, 5456, 3407, 22260
